,Data Cut,MC Cut
0,0.96,0.967
1,0.961,0.968
2,0.962,0.968
3,0.963,0.969
4,0.964,0.97
5,0.965,0.97
6,0.966,0.971
7,0.967,0.972
8,0.968,0.972
9,0.969,0.973
10,0.97,0.973
11,0.971,0.974
12,0.972,0.975
13,0.973,0.976
14,0.974,0.976
15,0.975,0.977
16,0.976,0.978
17,0.977,0.979
18,0.978,0.979
19,0.979,0.98
20,0.98,0.981
21,0.981,0.982
22,0.982,0.983
23,0.983,0.984
24,0.984,0.985
25,0.985,0.986
26,0.986,0.986
27,0.987,0.987
28,0.988,0.988
29,0.989,0.989
30,0.99,0.99
31,0.991,0.99
32,0.992,0.991
33,0.993,0.992
34,0.994,0.993
35,0.995,0.994
36,0.996,0.995
37,0.997,0.996
38,0.998,0.997
39,0.999,0.998
40,0.999,0.998
41,0.99901,0.998
42,0.99902,0.998
43,0.99903,0.998
44,0.99904,0.998
45,0.99905,0.998
46,0.99906,0.998
47,0.99907,0.998
48,0.99908,0.998
49,0.99909,0.998
50,0.9991,0.998
51,0.99911,0.998
52,0.99912,0.998
53,0.99913,0.998
54,0.99914,0.999
55,0.99915,0.999
56,0.99916,0.999
57,0.99917,0.999
58,0.99918,0.999
59,0.99919,0.999
60,0.9992,0.999
61,0.99921,0.999
62,0.99922,0.999
63,0.99923,0.999
64,0.99924,0.999
65,0.99925,0.999
66,0.99926,0.999
67,0.99927,0.999
68,0.99928,0.999
69,0.99929,0.999
70,0.9993,0.999
71,0.99931,0.999
72,0.99932,0.999
73,0.99933,0.999
74,0.99934,0.999
75,0.99935,0.999
76,0.99936,0.999
77,0.99937,0.999
78,0.99938,0.999
79,0.99939,0.999
80,0.9994,0.999
81,0.99941,0.999
82,0.99942,0.999
83,0.99943,0.999
84,0.99944,0.999
85,0.99945,0.999
86,0.99946,0.999
87,0.99947,0.999
88,0.99948,0.999
89,0.99949,0.999
90,0.9995,0.999
91,0.99951,0.999
92,0.99952,0.999
93,0.99953,0.999
94,0.99954,0.999
95,0.99955,0.999
96,0.99956,0.999
97,0.99957,0.999
98,0.99958,0.999
99,0.99959,0.999
100,0.9996,0.999
101,0.99961,0.999
102,0.99962,0.999
103,0.99963,0.99901
104,0.99964,0.99903
105,0.99965,0.99905
106,0.99966,0.99906
107,0.99967,0.99908
108,0.99968,0.99911
109,0.99969,0.99914
110,0.9997,0.99916
111,0.99971,0.99918
112,0.99972,0.99919
113,0.99973,0.99919
114,0.99974,0.99922
115,0.99975,0.99925
116,0.99976,0.99925
117,0.99977,0.99926
118,0.99978,0.99928
119,0.99979,0.99932
120,0.9998,0.99934
121,0.99981,0.99935
122,0.99982,0.9994
123,0.99983,0.99944
124,0.99984,0.99946
125,0.99985,0.99949
126,0.99986,0.99951
127,0.99987,0.99955
128,0.99988,0.99957
129,0.99989,0.99961
130,0.9999,0.99961
131,0.99991,0.99968
132,0.99992,0.99971
133,0.99993,0.99971
134,0.99994,0.99975
135,0.99995,0.99978
136,0.99996,0.99982
137,0.99997,0.99985
138,0.99998,0.99988
139,0.99999,0.99991
140,1.0,1.0
